"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"100","53.45732116699219","53.45732116699219","53.45732116699219","69.36729431152344","69.36729431152344","69.36729431152344","69.05006408691406","69.05006408691406","69.05006408691406","69.78840637207031","69.78840637207031","69.78840637207031"
"101","53.45537567138672","53.45537567138672","53.45537567138672","69.53709411621094","69.53709411621094","69.53709411621094","69.21722412109375","69.21722412109375","69.21722412109375","69.98091888427734","69.98091888427734","69.98091888427734"
"102","53.45656204223633","53.45656204223633","53.45656204223633","69.70789337158203","69.70789337158203","69.70789337158203","69.38249969482422","69.38249969482422","69.38249969482422","70.17379760742188","70.17379760742188","70.17379760742188"
"103","53.4495964050293","53.4495964050293","53.4495964050293","69.87714385986328","69.87714385986328","69.87714385986328","69.54518127441406","69.54518127441406","69.54518127441406","70.36573791503906","70.36573791503906","70.36573791503906"
"104","53.447105407714844","53.447105407714844","53.447105407714844","70.044677734375","70.044677734375","70.044677734375","69.70781707763672","69.70781707763672","69.70781707763672","70.55825805664062","70.55825805664062","70.55825805664062"
"105","53.43911361694336","53.43911361694336","53.43911361694336","70.21070861816406","70.21070861816406","70.21070861816406","69.87000274658203","69.87000274658203","69.87000274658203","70.74925994873047","70.74925994873047","70.74925994873047"
"106","53.43142318725586","53.43142318725586","53.43142318725586","70.37577819824219","70.37577819824219","70.37577819824219","70.03199768066406","70.03199768066406","70.03199768066406","70.94062805175781","70.94062805175781","70.94062805175781"
"107","53.38481521606445","53.38481521606445","53.38481521606445","70.54171752929688","70.54171752929688","70.54171752929688","70.19298553466797","70.19298553466797","70.19298553466797","71.1324462890625","71.1324462890625","71.1324462890625"
"108","53.322532653808594","53.322532653808594","53.322532653808594","70.70790100097656","70.70790100097656","70.70790100097656","70.35301971435547","70.35301971435547","70.35301971435547","71.32257843017578","71.32257843017578","71.32257843017578"
"109","53.27881622314453","53.27881622314453","53.27881622314453","70.87298583984375","70.87298583984375","70.87298583984375","70.51087188720703","70.51087188720703","70.51087188720703","71.51344299316406","71.51344299316406","71.51344299316406"
"110","53.22880554199219","53.22880554199219","53.22880554199219","71.03791046142578","71.03791046142578","71.03791046142578","70.6659927368164","70.6659927368164","70.6659927368164","71.70392608642578","71.70392608642578","71.70392608642578"
"111","53.17800521850586","53.17800521850586","53.17800521850586","71.20056915283203","71.20056915283203","71.20056915283203","70.8192138671875","70.8192138671875","70.8192138671875","71.89463806152344","71.89463806152344","71.89463806152344"
"112","53.134056091308594","53.134056091308594","53.134056091308594","71.36267852783203","71.36267852783203","71.36267852783203","70.97267150878906","70.97267150878906","70.97267150878906","72.08673095703125","72.08673095703125","72.08673095703125"
"113","53.096275329589844","53.096275329589844","53.096275329589844","71.522705078125","71.522705078125","71.522705078125","71.12451934814453","71.12451934814453","71.12451934814453","72.27839660644531","72.27839660644531","72.27839660644531"
"114","53.07710266113281","53.07710266113281","53.07710266113281","71.6790771484375","71.6790771484375","71.6790771484375","71.27578735351562","71.27578735351562","71.27578735351562","72.4698486328125","72.4698486328125","72.4698486328125"
"115","53.07852554321289","53.07852554321289","53.07852554321289","71.83291625976562","71.83291625976562","71.83291625976562","71.42432403564453","71.42432403564453","71.42432403564453","72.65978240966797","72.65978240966797","72.65978240966797"
"116","53.061279296875","53.061279296875","53.061279296875","71.98457336425781","71.98457336425781","71.98457336425781","71.56944274902344","71.56944274902344","71.56944274902344","72.84904479980469","72.84904479980469","72.84904479980469"
